idPartido,Temporada,Ronda,Local,Visitante,Evento,GolesLocal,GolesVisitante,VictoriaLocal,Empate,VictoriaVisitante,%_Victorias_Local,%_Empate,%_Victoria_Visitante,%_Equipo1_Ganado,%_Equipo2_Ganado,%_1_G_Temporada,%_1_G_Temporada_L,%_1_E_Temporada_L,%_1_P_Temporada_L,1_Media_G,1_Media_G_Local,1_Media_Goles_PP,1_ValorJugadores,1_MediaJugadores,%_2_G_Temporada,%_2_G_Temporada_L,%_2_E_Temporada_L,%_2_P_Temporada_L,2_Media_G,2_Media_G_Local,2_Media_Goles_PP,2_ValorJugadores,2_MediaJugadores
126,2022-01-01,Group stage,235,11,Stadion Maksimir,1,0,1,0,0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,50.0,50.0,0.0,0.0,0.6,374.87231869254344,18.743615934627172,55.56,60.0,20.0,20.0,0.56,0.6,1.33,685.1889683350357,26.353421859039834
127,2022-01-01,Group stage,14,153,Signal Iduna Park,3,0,1,0,0,0.0,100.0,0.0,0.0,0.0,28.57,33.33,66.67,0.0,0.29,0.33,1.14,516.1899897854954,19.85346114559598,0.0,0.0,100.0,0.0,0.0,0.0,0.2,356.12870275791624,14.24514811031665
128,2022-01-01,Group stage,16,1,Celtic Park,0,3,0,0,1,100.0,0.0,0.0,0.0,100.0,0.0,0.0,50.0,50.0,0.0,0.0,0.8,406.79264555669056,18.49057479803139,63.64,83.33,16.67,0.0,0.64,0.83,2.09,796.2717058222676,36.194168446466705
129,2022-01-01,Group stage,10,298,Estádio do Sport Lisboa e Benfica,2,0,1,0,0,0.0,0.0,100.0,100.0,0.0,55.56,50.0,25.0,25.0,0.56,0.5,2.67,675.6894790602655,28.15372829417773,20.0,33.33,0.0,66.67,0.2,0.33,1.4,382.7374872318692,19.13687436159346
130,2022-01-01,Group stage,184,2,Red Bull Arena,1,1,0,1,0,100.0,0.0,0.0,0.0,100.0,20.0,50.0,0.0,50.0,0.2,0.5,0.8,367.7221654749745,19.353798182893392,45.45,66.67,0.0,33.33,0.45,0.67,1.27,749.2339121552603,32.57538748501132
131,2022-01-01,Group stage,80,15,Estadio Ramón Sánchez Pizjuán,0,4,0,0,1,66.67,0.0,33.33,0.0,100.0,20.0,50.0,0.0,50.0,0.2,0.5,1.2,387.4361593462717,16.143173306094656,58.33,100.0,0.0,0.0,0.58,1.0,2.33,891.9816138917262,38.781809299640265
132,2022-01-01,Group stage,68,92,Red Bull Arena,1,4,0,0,1,0.0,0.0,100.0,100.0,0.0,57.14,66.67,33.33,0.0,0.57,0.67,1.86,529.8774259448417,24.085337542947347,0.0,0.0,66.67,33.33,0.0,0.0,0.8,360.5209397344229,18.026046986721145
133,2022-01-01,Group stage,27,9,Parc des Princes,2,1,1,0,0,0.0,0.0,100.0,100.0,0.0,42.86,33.33,33.33,33.33,0.43,0.33,2.0,534.88253319714,25.470596818911428,20.0,33.33,0.0,66.67,0.2,0.33,1.6,402.19611848825326,15.469081480317433
134,2022-01-01,Group stage,6,49,Johan Cruyff ArenA,4,0,1,0,0,0.0,0.0,100.0,100.0,0.0,20.0,0.0,0.0,100.0,0.2,0.0,1.4,390.0919305413687,20.531154239019404,0.0,0.0,0.0,100.0,0.0,0.0,0.4,354.5965270684372,16.118023957656234
135,2022-01-01,Group stage,41,87,Deutsche Bank Park,0,3,0,0,1,0.0,0.0,100.0,100.0,0.0,42.86,33.33,33.33,33.33,0.43,0.33,1.0,497.75280898876395,22.62512768130745,20.0,33.33,0.0,66.67,0.2,0.33,1.0,350.10214504596524,14.00408580183861
