Equipo 1,Agr.,Equipo 2,Ida,Vuelta,Temporada
Leipzig,1–8,Manchester City,1–1,0–7,22/23
Brujas,1–7,Benfica,0–2,1–5,22/23
Liverpool,2–6,Real Madrid,2–5,0–1,22/23
Milan,1–0,Tottenham Hotspur,1–0,0–0,22/23
Eintracht Fráncfort,0–5,Napoli,0–2,0–3,22/23
Borussia Dortmund,1–2,Chelsea,1–0,0–2,22/23
Inter de Milán,1–0,Porto,1–0,0–0,22/23
París Saint-Germain,0–3,Bayern Múnich,0–1,0–2,22/23
Salzburgo,2–8,Bayern Múnich,1–1,1–7,21/22
Sporting de Portugal,0–5,Manchester City,0–5,0–0,21/22
Benfica,3–2,Ajax,2–2,1–0,21/22
Chelsea,4–1,Lille,2–0,2–1,21/22
Atlético de Madrid,2–1,Manchester United,1–1,1–0,21/22
Villarreal,4–1,Juventus,1–1,3–0,21/22
Inter de Milán,1–2,Liverpool,0–2,1–0,21/22
París Saint-Germain,2–3,Real Madrid,1–0,1–3,21/22
Borussia Mönchengladbach,0–4,Manchester City,0–2,0–2,20/21
Lazio,2–6,Bayern Múnich,1–4,1–2,20/21
Atlético de Madrid,0–3,Chelsea,0–1,0–2,20/21
Leipzig,0–4,Liverpool,0–2,0–2,20/21
Porto,4–4(v.)(t. s.),Juventus,2–1,2–3,20/21
Barcelona,2–5,París Saint-Germain,1–4,1–1,20/21
Sevilla,4–5,Borussia Dortmund,2–3,2–2,20/21
Atalanta,1–4,Real Madrid,0–1,1–3,20/21
Borussia Dortmund,2–3,París Saint-Germain,2–1,0–2,19/20
Real Madrid,2–4,Manchester City,1–2,1–2,19/20
Atalanta,8–4,Valencia,4–1,4–3,19/20
Atlético de Madrid,4–2(t. s.),Liverpool,1–0,3–2,19/20
Chelsea,1–7,Bayern Múnich,0–3,1–4,19/20
Olympique de Lyon,2–2(v.),Juventus,1–0,1–2,19/20
Tottenham Hotspur,0–4,Leipzig,0–1,0–3,19/20
Napoli,2–4,Barcelona,1–1,1–3,19/20
Schalke 04,2–10,Manchester City,2–3,0–7,18/19
Atlético de Madrid,2–3,Juventus,2–0,0–3,18/19
Manchester United,(v)3–3,París Saint-Germain,0–2,3–1,18/19
Tottenham Hotspur,4–0,Borussia Dortmund,3–0,1–0,18/19
Olympique de Lyon,1–5,Barcelona,0–0,1–5,18/19
Roma,3–4(t. s.),Porto,2–1,1–3,18/19
Ajax,5–3,Real Madrid,1–2,4–1,18/19
Liverpool,3–1,Bayern Múnich,0–0,3–1,18/19
