idEntrenador,Pais,Apodo,Nombre,T,PJ,PG,PE,PP,%
1,,Ferguson,Alexander Chapman Ferguson,22,214,115,56,43,53%26%21%
2,,Wenger,Arsène Charles Ernest Wenger,21,208,103,45,60,49%21%30%
3,,Ancelotti,Carlo Michel Angelo Ancelotti,21,208,119,47,42,57%22%21%
4,,Lucescu,Mircea Lucescu,20,152,59,36,57,38%23%39%
5,,Mourinho,José Mário dos Santos Mourinho Félix,17,151,81,36,34,53%23%24%
6,,Guardiola,Josep Guardiola Sala,15,175,112,36,27,64%20%16%
7,,Trapattoni,Giovanni Trapattoni,13,82,40,20,22,48%24%28%
8,,Miguel Muñoz,Miguel Muñoz Mozún,13,71,41,10,20,57%14%29%
9,,Benítez,Rafael Benítez Maudes,12,111,63,24,24,56%21%23%
10,,Lobanovskyi,Valeriy Vasylyovych Lobanovskyi,12,96,46,22,28,47%22%31%
11,,Simeone,Diego Pablo Simeone González,11,105,51,27,27,48%25%27%
12,,Spalletti,Luciano Spalletti,11,77,36,16,25,46%20%34%
13,,Smith,Walter Ferguson Smith,11,60,20,17,23,33%28%39%
14,,Bajević,Dušan Bajević,11,68,21,22,25,30%32%38%
15,,Hiddink,Guus Hiddink,11,69,27,19,23,39%27%34%
16,,Jorge Jesus,Jorge Fernando Pinheiro de Jesus,11,67,24,16,27,35%23%42%
17,,Allegri,Massimiliano Allegri,11,102,46,27,29,45%26%29%
18,,Van Gaal,Aloysius Paulus Maria van Gaal,10,101,63,17,21,62%16%22%
19,,Jock Stein,John Stein,10,58,33,11,14,56%18%26%
20,,Hitzfeld,Ottmar Hitzfeld,10,101,50,30,21,49%29%22%
21,,Romantsev,Oleg Ivanovich Romantsev,10,72,27,16,29,37%22%41%
22,,Fatih Terim,Fatih Terim,10,63,22,11,30,34%17%49%
23,,Bogs,Jürgen Bogs,10,38,15,8,15,39%21%40%
24,,Klopp,Jürgen Norbert Klopp,10,104,60,15,29,57%14%29%
25,,Koeman,Ronald Koeman,10,72,22,22,28,30%30%40%
26,,Ivić,Tomislav Ivić,9,43,27,6,10,62%13%25%
27,,Gurbanov,Gurban Osman Gurbanov,9,51,21,18,12,41%35%24%
28,,Solbakken,Ståle Solbakken,9,64,27,16,21,42%25%33%
29,,Lippi,Marcello Lippi,8,78,38,19,21,48%24%28%
30,,Goncharenko,Viktar Mihailavich Hancharenka,8,62,26,15,21,41%24%35%
31,,Mancini,Roberto Mancini,8,67,29,18,20,43%26%31%
32,,Happel,Ernst Franz Hermann Happel,8,45,26,8,11,57%17%26%
33,,Batteux,Albert André Batteux,8,36,20,3,13,55%8%37%
34,,Schmidt,Roger Schmidt,8,55,26,14,15,47%25%28%
35,,Capello,Fabio Capello,8,88,46,25,17,52%28%20%
36,,Lattek,Udo Lattek,8,56,30,15,11,53%26%21%
37,,Gross,Christian Jürgen Gross,7,49,16,13,20,32%26%42%
38,,Skovdahl,Ebbe Skovdahl Hansen,7,25,9,5,11,36%20%44%
39,,Sérgio Conceição,Sérgio Paulo Marceneiro da Conceição,7,52,26,7,19,50%13%37%
40,,Tuchel,Thomas Tuchel,7,66,40,11,15,60%16%24%
41,,Emery,Unai Emery Echegoyen,7,55,23,12,20,41%21%38%
42,,Milev,Krum Milev,7,21,7,4,10,33%19%48%
43,,Gerets,Erik Maria Lambertus Gerets,7,45,15,8,22,33%17%50%
44,,Vrba,Pavel Vrba,7,32,13,7,12,40%21%39%
45,,Daum,Christoph Paul Daum,7,37,13,7,17,35%18%47%
46,,Jesualdo Ferreira,Manuel Jesualdo Ferreira,7,42,18,10,14,42%23%35%
47,,Beenhakker,Leo Beenhakker,7,51,26,13,12,50%25%25%
48,,Gazzaev,Valery Georgiyevich Gazzaev,7,38,11,10,17,28%26%46%
49,,Paisley,Robert Paisley,7,41,27,5,9,65%12%23%
50,,Favre,Lucien Favre,7,31,14,5,12,45%16%39%
51,,Stanković,Branislav Stanković,7,30,12,6,12,40%20%40%
52,,Heynckes,Josef Heynckes,7,71,49,11,11,69%15%16%
53,,Valverde,Ernesto Valverde Tejedor,7,46,25,11,10,54%23%23%
54,,Pellegrini,Manuel Luis Pellegrini Ripamonti,7,72,30,24,18,41%33%26%
55,,Barić,Otto Barić,6,26,12,4,10,46%15%39%
56,,Szabó,József Yozhefovich Szabó,6,24,9,2,13,37%8%55%
57,,Ranieri,Claudio Ranieri,6,51,25,13,13,49%25%26%
58,,Slutski,Leonid Víktorovich Slutski,6,43,10,12,21,23%27%50%
59,,Nagelsmann,Julian Nagelsmann,6,44,25,7,12,56%15%29%
60,,Sollied,Trond Johan Sollied,6,42,12,13,17,28%30%42%
61,,Conte,Antonio Conte,6,37,11,13,13,29%35%36%
62,,Rudi Garcia,Rudi José Garcia,6,38,10,10,18,26%26%48%
63,,Jardim,José Leonardo Nunes Alves Sousa Jardim,6,44,19,7,18,43%15%42%
64,,Frank de Boer,Franciscus de Boer,6,27,7,8,12,25%29%46%
65,,Lopetegui,Julen Lopetegi Agote,6,38,18,10,10,47%26%27%
66,,Stevens,Hubertus Jozef Margaretha Stevens,6,34,10,9,15,29%26%45%
67,,Goethals,Raymond Goethals,6,25,13,7,5,52%28%20%
68,,Guðjónsson,Heimir Guðjónsson,6,16,3,4,9,18%25%57%
69,,Rose,Marco Rose,6,37,17,8,12,45%21%34%
70,,Otto Glória,Otaviano Martins Glória,6,21,10,3,8,47%14%39%
71,,Bobby Robson,Robert William Robson,6,37,14,8,15,37%21%42%
72,,Miljanić,Miljan Miljanić,6,32,16,6,10,50%18%32%
73,,Deschamps,Didier Claude Deschamps,6,49,22,7,20,44%14%42%
74,,Puel,Claude Jacques Puel,6,52,21,14,17,40%26%34%
75,,Schaaf,Thomas Schaaf,6,46,18,9,19,39%19%42%
76,,Pochettino,Mauricio Roberto Pochettino Trossero,6,45,21,9,15,46%20%34%
77,,Hrygorchuk,Roman Yosypovych Hryhorchuk,6,22,10,1,11,45%4%51%
78,,McLaughlin,James Christopher McLaughlin,6,16,2,5,9,12%31%57%
79,,Kuchuk,Leonid Stanislavovich Kuchuk,6,26,9,5,12,34%19%47%
80,,Scot Symon,James Scotland Symon,6,31,17,1,13,54%3%43%
81,,Bobek,Stjepan Bobek,5,18,6,4,8,33%22%45%
82,,Lennon,Neil Francis Lennon,5,34,18,3,13,52%8%40%
83,,Houllier,Gérard Paul Francis Houllier,5,34,18,10,6,52%29%19%
84,,Helenio Herrera,Helenio Herrera Gavilán,5,40,25,8,7,62%20%18%
85,,Nicușor,Nicolae Dumitru,5,22,7,4,11,31%18%51%
86,,Magath,Wolfgang Felix Magath,5,40,21,9,10,52%22%26%
87,,Lemonis,Panagiotis Lemonis,5,26,7,7,12,26%26%48%
88,,Kenny,Stephen Kenny,5,16,2,6,8,12%37%51%
89,,Rui Vitória,Rui Carlos Pinho da Vitória,5,36,12,7,17,33%19%48%
90,,Zidane,Zinédine Yazid Zidane,5,53,31,12,10,58%22%20%
91,,Fernando Santos,Fernando Manuel Fernandes da Costa Santos,5,31,13,6,12,41%19%40%
92,,Milanič,Darko Milanič,5,32,15,6,11,46%18%36%
93,,Busby,Alexander Matthew Busby,5,39,25,7,7,64%17%19%
94,,Artur Jorge,Artur Jorge Braga de Melo Teixeira,5,28,16,8,4,57%28%15%
95,,Cruyff,Hendrik Johannes Cruijff,5,37,18,9,10,48%24%28%
96,,Advocaat,Dirk Nicolaas Advocaat,5,36,15,10,11,41%27%32%
97,,Semin,Yuri Pavlovich Semin,5,34,11,5,18,32%14%54%
98,,Solskjær,Ole Gunnar Solskjær,5,22,9,5,8,40%22%38%
99,,Rinus Michels,Marinus Jacobus Hendricus Michels,5,35,19,8,8,54%22%24%
100,,Blanc,Laurent Robert Blanc,5,46,27,8,11,58%17%25%
101,,Eriksson,Sven-Göran Eriksson,5,47,26,9,12,55%19%26%
102,,Rodgers,Brendan Rodgers,5,42,13,10,19,30%23%47%
103,,Irureta,Javier Iruretagoyena Amiano,5,62,25,17,20,40%27%33%
104,,Toshack,John Benjamin Toshack,5,24,13,4,7,54%16%30%
105,,Weiss,Vladimír Weiss,5,32,12,10,10,37%31%32%
106,,Ten Hag,Erik ten Hag,5,48,24,12,12,50%25%25%
107,,Healy,David Jonathan Healy,5,14,4,1,9,28%7%65%
108,,Cheburin,Vladimir Nikolaevich Cheburin,5,20,7,5,8,35%25%40%
109,,Seoane,Gerardo Seoane Castro,4,15,4,4,7,26%26%48%
110,,Boškov,Vujadin Boškov,4,35,21,4,10,60%11%29%
111,,Fischer,Urs Fischer,4,18,3,6,9,16%33%51%
112,,Strachan,Gordon David Strachan,4,26,8,5,13,30%19%51%
113,,Bjelica,Nenad Bjelica,4,30,11,10,9,36%33%31%
114,,Del Bosque,Vicente del Bosque González,4,60,34,12,14,56%20%24%
115,,Cocu,Phillip John William Cocu,4,20,5,7,8,25%35%40%
116,,Merkel,Maximilian Merkel,4,12,5,1,6,41%8%51%
117,,Broos,Hugo Henri Broos,4,30,12,3,15,40%10%50%
118,,Souness,Graeme James Souness,4,20,8,5,7,40%25%35%
